"Google","GOOG","Mountain View, California","United States"
"Hewlett-Packard","HPQ","Palo Alto, California","United States"
"Meru Networks","MERU","Sunnyvale, California","United States"
"Vector Group","VGR","Miami","United States"
"Wells Fargo","WFC","San Francisco","United States"
"Xerox","XRX","Norwalk, Connecticut","United States"
"Microsoft","MSFT","Redmond, Washington","United States"
"Oracle Corporation","ORCL","Redwood City, California","United States"
"Infosys","INFY","Bangalore","India"
"Fairchild Semiconductor","FCS","San Jose, California","United States"
"Citigroup","C","Manhattan","United States"
"Johnson & Johnson","JNJ","New Brunswick, New Jersey","United States"
"JPMorgan Chase","JPM","Manhattan","United States"
"Berkshire Hathaway","BRK.B","Omaha, Nebraska","United States"
"JPMorgan Chase","JPM","New York City","United States"
"Seagate Technology","STX","Cupertino, California","United States"
"Qualcomm","QCOM","San Diego","United States"
"Yahoo!","YHOO","Sunnyvale, California","United States"
"PennyMac Loan Services","PFSI","Moorpark, California","United States"
"Support.com","SPRT","Redwood City, California","United States"
"SanDisk","SNDK","Milpitas, California","United States"
"PMC-Sierra","PMCS","Sunnyvale, California","United States"
"FMC Corporation","FMC","Philadelphia","United States"
"MSCI","MSCI","New York City","United States"
"Nortel","NT","Mississauga","Canada"
"Intel","INTC","Santa Clara, California","United States"
"Apple Inc.","AAPL","Cupertino, California","United States"
"Texas Instruments","TXN","Dallas","United States"
"Cisco Systems","CSCO","San Jose, California","United States"
"BigBand Networks","BBND","Redwood City, California","United States"
"RetailMeNot","SALE","Austin, Texas","United States"
"Novavax","NVAX","Gaithersburg, Maryland","United States"
